,File Name,Original Transcription
0,008.mp4," Okay, okay, that's it. Good job, man! Thank you. You're welcome."
1,009.mp4," Keep the bottle first. Right side up. Okay, yeah. Okay, ready?"
2,1.mp4, Thanks for watching!
3,11-06-21_Sticker_Providence_RI.mp4, Oh
4,11-10-21_Sticker_Meriden_CT.mp4, nothing yes
5,11-13-21_Sticker_Providence_RI.mp4, Tear it up.
6,11-13-21_Westborough_MA.mp4, Beautiful.
7,11-13-21_Westborough_MA_2.mp4, Good.
8,11-14-21_Sticker_Boston_MA.mp4, Thanks for watching!
9,11-14-21_Stick_Boston_MA.mp4, Thanks for watching!
10,11-14-21_Stick_Boston_MA_2.mp4, Thanks for watching!
11,11-20-21_Sticker_Providence_RI.mp4," Alright, get it."
12,11-21-21_Sticker_Providence_RI.mp4, Do you want some? No. No? No? Sure. Here you go. We're gonna be robbing you of stuff later. Yes. Thank you.
13,11-21-21_Sticker_York_ME.mov, Thanks for watching!
