Column1,folder,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42
0,1015,03-52-41_4_1015_kHz_USB_4_1015_kHz.mp3,RU,EN-US,"0:00:00 11th, I'm 25th intake.
0:00:05 25, I'm the 11th appointment.
0:00:10 In your area, Argument, Sapsir, and our two little derriere girls.
0:00:19 I'm 25th intake.
0:00:23 Accepted, I'm on my 11th appointment. Thank you.
","0:00:00:  11-?, ? 25-? ?????.
 0:00:05:  25-?, ? 11-? ?????.
 0:00:10:  ? ????? ?????? ????????, ?????? ? ??? ???? ????????? ???????.
 0:00:19:  ? 25-? ?????.
 0:00:23:  ??????, ? 11-? ?????. ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10227,websdr_recording_start_2022-03-01T19_09_29Z_10227.0kHz.wav,RU,EN-US,"0:02:00 Got it, got it, got it.
0:02:07 Look, on this gasoline he got in.
0:02:14 Ah, the bahar.
0:02:17 Ah, the fool.
0:02:21 Ah, the bahar, well.
0:02:25 Go ahead.
0:02:26 Gotcha, ah, fool.
0:02:28 Ah, the fool.
0:02:32 Come on, come on, come on.
0:02:34 Gotcha.
0:02:35 Gotcha, ah, fool.
0:02:36 Ah, the fool.
0:02:39 Ah, the fool.
0:02:41 Ah, the fool.
0:02:44 Ah, the fool.
0:02:57 They speak Armenian.
0:03:27 They speak Armenian.
","0:02:00:  ????, ????, ????.
 0:02:07:  ??????, ?? ???? ??????? ?? ?????.
 0:02:14:  ???, ?? ??????.
 0:02:17:  ??, ?????.
 0:02:21:  ??, ?? ??????, ??.
 0:02:25:  ??, ?????.
 0:02:26:  ?????, ??, ?????.
 0:02:28:  ??, ?????.
 0:02:32:  ??, ?????, ?????.
 0:02:34:  ?????.
 0:02:35:  ?????, ??, ?????.
 0:02:36:  ??, ?????.
 0:02:39:  ??, ?????.
 0:02:41:  ?, ?????.
 0:02:44:  ???, ?????.
 0:02:57:  ??????? ??-????????.
 0:03:27:  ??????? ??-????????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10460,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz (1).wav,RU,EN-US,"0:00:00 District, rega, rega, reception, reception
0:00:05 Are there any thirds?
0:00:06 There is a district, I hear you, the second district
0:00:10 Yes, Anatoly Ivanovich, yes, I always tell you, I hear you, Tashkent
0:00:14 I can't hear the others very well, what were you talking about, over?
0:00:18 On this neighbor, he's deaf, not mine, reception
0:00:22 Yeah, well, it's deaf, it's not mine.
0:00:27 I hear you, over
0:00:30 Rayon, reggae, reggae, I've already crushed the surprise
0:00:35 Area, reggae, reception
0:00:38 Your hands are lidded, it's okay.
0:00:42 District, rega, rega, rega, 789, yes, I'm always very loud to you, over
0:00:47 Yes, accepted, Sereg, I hear, we are all too early to give, yes
0:00:51 Ah, hello, Sereg.
0:00:55 Yes, yes, I hear, yes, yes
0:00:58 I'm in a fairy tale, we have Russian-louder
0:01:01 It works, and he hears me louder.
0:01:05 There, and you have two minutes of work here, over.
0:01:11 It's clear, it's clear, it's clear.
0:01:14 All right, well, sunny day you have, 5-6, oh, nice day, hello
0:01:19 I see, but I'm sick of the dose, too.
0:01:24 And the flies come and everything, and pours
0:01:28 And I, all right, here we go.
","0:00:00:  ?????, ????, ????, ?????, ?????
 0:00:05:  ?????? ?????
 0:00:06:  ????? ????, ????? ??, ?????? ?????
 0:00:10:  ??, ???????? ????????, ??, ? ???? ?????? ??????, ?????, ???????
 0:00:14:  ???-?? ?????? ????? ?????, ? ? ??? ?? ???????, ??????
 0:00:18:  ?? ???? ?????, ?? ?????, ?? ???, ?????
 0:00:22:  ??, ??? ??, ?????, ?? ???
 0:00:27:  ????? ????, ?????
 0:00:30:  ?????, ????, ????, ? ??? ??????? ???????
 0:00:35:  ?????, ????, ????, ?????
 0:00:38:  ???? ???? ?????????, ??? ?????????
 0:00:42:  ?????, ????, ????, 789, ??, ? ???? ?????? ????? ??????, ?????
 0:00:47:  ??, ???????, ?????, ? ?????, ??? ??? ???? ? ???? ????, ??
 0:00:51:  ?, ??????, ?????
 0:00:55:  ??, ??, ? ?????, ??, ??
 0:00:58:  ? ? ???? ? ??????, ? ??? ??????-????????
 0:01:01:  ????????, ? ?? ???? ???????? ??????
 0:01:05:  ???, ? ? ??? ??? ?????? ????? ????????, ?????
 0:01:11:  ??? ????, ????, ???????
 0:01:14:  ?????, ??????, ????????? ???? ? ???, 5-6, ?, ??????? ????, ??????
 0:01:19:  ???????, ?? ? ???? ??????, ?????, ????
 0:01:24:  ? ???? ??????, ? ???, ? ????????
 0:01:28:  ? ?, ??? ???????, ???, ?? ?? ??????, ? ?? ????? ?? ??????
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10460,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz.wav,RU,EN-US,"0:00:00 District, rega, rega, reception, reception
0:00:05 Are there any thirds?
0:00:06 There is a district, I hear you, the second district
0:00:10 Yes, Anatoly Ivanovich, yes, I always tell you, I hear you, Tashkent
0:00:14 I can't hear the others very well, what were you talking about, over?
0:00:18 On this neighbor, he's deaf, not mine, reception
0:00:22 Yeah, well, it's deaf, it's not mine.
0:00:27 I hear you, over
0:00:30 Rayon, reggae, reggae, I've already crushed the surprise
0:00:35 Area, reggae, reception
0:00:38 Your hands are lidded, it's okay.
0:00:42 District, rega, rega, rega, 789, yes, I'm always very loud to you, over
0:00:47 Yes, accepted, Sereg, I hear, we are all too early to give, yes
0:00:51 Ah, hello, Sereg.
0:00:55 Yes, yes, I hear, yes, yes
0:00:58 I'm in a fairy tale, we have Russian-louder
0:01:01 It works, and he hears me louder.
0:01:05 There, and you have two minutes of work here, over.
0:01:11 It's clear, it's clear, it's clear.
0:01:14 All right, well, sunny day you have, 5-6, oh, nice day, hello
0:01:19 I see, but I'm sick of the dose, too.
0:01:24 And the flies come and everything, and pours
0:01:28 And I, all right, here we go.
","0:00:00:  ?????, ????, ????, ?????, ?????
 0:00:05:  ?????? ?????
 0:00:06:  ????? ????, ????? ??, ?????? ?????
 0:00:10:  ??, ???????? ????????, ??, ? ???? ?????? ??????, ?????, ???????
 0:00:14:  ???-?? ?????? ????? ?????, ? ? ??? ?? ???????, ??????
 0:00:18:  ?? ???? ?????, ?? ?????, ?? ???, ?????
 0:00:22:  ??, ??? ??, ?????, ?? ???
 0:00:27:  ????? ????, ?????
 0:00:30:  ?????, ????, ????, ? ??? ??????? ???????
 0:00:35:  ?????, ????, ????, ?????
 0:00:38:  ???? ???? ?????????, ??? ?????????
 0:00:42:  ?????, ????, ????, 789, ??, ? ???? ?????? ????? ??????, ?????
 0:00:47:  ??, ???????, ?????, ? ?????, ??? ??? ???? ? ???? ????, ??
 0:00:51:  ?, ??????, ?????
 0:00:55:  ??, ??, ? ?????, ??, ??
 0:00:58:  ? ? ???? ? ??????, ? ??? ??????-????????
 0:01:01:  ????????, ? ?? ???? ???????? ??????
 0:01:05:  ???, ? ? ??? ??? ?????? ????? ????????, ?????
 0:01:11:  ??? ????, ????, ???????
 0:01:14:  ?????, ??????, ????????? ???? ? ???, 5-6, ?, ??????? ????, ??????
 0:01:19:  ???????, ?? ? ???? ??????, ?????, ????
 0:01:24:  ? ???? ??????, ? ???, ? ????????
 0:01:28:  ? ?, ??? ???????, ???, ?? ?? ??????, ? ?? ????? ?? ??????
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10460,websdr_recording_start_2022-03-01T05_49_47Z_10460.0kHz.wav,RU,EN-US,"0:00:30 and I hear, Slava, you confirm here and you say nothing here.
0:00:35 So, yes, all the souls of that little girl.
0:00:39 Tester, over, over.
","0:00:30:  ? ?????, ?????, ?? ????? ??????????? ? ????? ??????????.
 0:00:35:  ??????, ??, ??? ???? ??? ?????????.
 0:00:39:  ??????????, ?????, ?????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10460,websdr_recording_start_2022-03-01T05_50_33Z_10460.0kHz.wav,RU,EN-US,"0:00:00 Guys, the lane's clear. Sorry.
0:00:02 Okay, bye-bye. Mission microphone.
0:00:06 Balansir, 1st district, everyone.
0:00:10 Characteristics of the ship, do you hear?
0:00:12 Characteristics of the ship.
0:00:14 Okay, okay, okay.
0:00:16 Secret, stun.
0:00:20 Secret stun, they will interfere, there answer.
0:00:22 Stun on a secret.
0:00:24 The contract, too.
0:00:26 A contract, a contract.
0:00:28 It's nicer today, celebrating.
0:00:34 Respect, I apologize, guys.
0:00:36 Respect, me, me, me.
","0:00:00:  ??????, ??????? ????????, ????????.
 0:00:02:  ???, ????-????. ?????? ????????.
 0:00:06:  ????????, 1-? ?????, ????.
 0:00:10:  ????????????? ?????????, ????????
 0:00:12:  ????????????? ?????????.
 0:00:14:  ?????, ?????, ?????.
 0:00:16:  ??????, ????????.
 0:00:20:  ?????? ????????, ??? ????? ??????, ??? ????????.
 0:00:22:  ???????? ?? ??????.
 0:00:24:  ??????? ????.
 0:00:26:  ???????, ???????.
 0:00:28:  ??????? ????????, ???????????.
 0:00:34:  ????????, ?????????, ?????.
 0:00:36:  ????????, ?, ?, ?.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10460,websdr_recording_start_2022-03-01T05_51_30Z_10460.0kHz.wav,RU,EN-US,"0:00:00 Seller's on 16 from the advisors.
0:00:14 Hello.
0:00:16???
0:00:20ONG bothered.
0:00:21 Fuck, fuck, fuck.
0:00:28 Baidet.
0:00:29 Heard your weather.
0:00:32 You heard ours, too.
0:00:35 Nothing, we only brought the passport to the sklizu.
0:00:38 Got it, got it.
0:00:39 We have sunshine, third day, we're just happy.
0:00:41 The only thing is not to be captured.
0:00:43 I watched it yesterday, and it was so fucking funny.
0:00:47 They should capture us.
0:00:48 Yes, Irkutsk is just iron growth.
0:00:50 Good luck with that.
0:00:51 There will be an intersection.
0:00:54 73 on Voronezh is deafening.
0:00:55 You go clearly to the shelter.
0:00:57 The sky is beautiful, springtime, and the sun is gorgeous.
0:01:00 Bye.
0:01:02 Oh, great.
0:01:05 Hello.
0:01:06 It's fucking loud.
0:01:08 Hello, plus 15.
0:01:10 Idol, what are you doing there, so, grab it, look.
0:01:14 Good health, good health, good luck to you.
0:01:16 You're kind of wheezing a little bit, aren't you?
0:01:20 Ali for something did not run out of medicine there,
0:01:25 who is standing upright?
0:01:28 No, it's not over.
0:01:29 Just lazy.
0:01:30 And all day long I've been smoking.
0:01:32 Rattle at him.
0:01:35 I see, yes.
0:01:36 Well, miss something else.
0:01:40 If we haven't all gathered yet.
0:01:43 Here.
0:01:44 Okay, it's loud, plus 15.
0:01:46 Thank you all for your health.
0:01:49 Come on, bye.
0:01:51 Where is Ramon?
0:01:52 Where?
0:01:53 I said yesterday, Ramon.
0:01:55 Come on, you're not controversial.
0:01:58 Yes, yes, yes.
0:02:00 Here you are in the pauses, in between you are in the pauses.
0:02:04 There's Slava.
0:02:05 Slava, here, or they're running away, they're waiting for me here.
0:02:09 Happy Mashinitsa, Mashinitsa to you.
0:02:12 7-8 points, 7-8 points.
0:02:15 Slava, there is contact, reception.
0:02:23 To be continued.
","0:00:00:  ???????? ?? 16 ?? advisors ???????.
 0:00:14:  ???????.
 0:00:16: ???
 0:00:20: ONG bothered.
 0:00:21:  ??? date, ???.
 0:00:28:  ??????.
 0:00:29:  ?????? ?????? ????.
 0:00:32:  ???? ?? ???? ??????.
 0:00:35:  ??????, ??????? ?? ?????? ?? ?????? ??????.
 0:00:38:  ?????, ?????.
 0:00:39:  ? ??? ??????, ?????? ????, ???????? ??????.
 0:00:41:  ????????????, ???? ?? ?????????.
 0:00:43:  ? ?? ? ????? ???????, ?? ????????, ???.
 0:00:47:  ????????? ??? ??????.
 0:00:48:  ?? ???????, ??? ???, ???????? ????.
 0:00:50:  ????? ?????.
 0:00:51:  ????? ???????????.
 0:00:54:  73 ?? ???????? ????????????.
 0:00:55:  ????? ????? ? ?????.
 0:00:57:  ???? ???????????, ????????, ???????? ??????????.
 0:01:00:  ????.
 0:01:02:  ??, ???????.
 0:01:05:  ???????.
 0:01:06:  ??????, ???.
 0:01:08:  ???????, ???? 15.
 0:01:10:  ??????, ?? ?? ?? ???, ???, ????????, ??????.
 0:01:14:  ????????, ???????? ????, ?????.
 0:01:16:  ?? ?? ??, ??? ?? ???, ??? ?? ???????? ????????????.
 0:01:20:  ??? ?? ?? ?? ?? ????????? ????????? ??? ?????,
 0:01:25:  ??????? ????? ??????
 0:01:28:  ?? ???, ?? ?????????.
 0:01:29:  ?????? ????.
 0:01:30:  ? ???? ???? ????????????.
 0:01:32:  ????? ??? ???.
 0:01:35:  ?? ???????, ??.
 0:01:36:  ??, ?? ?? ?????????? ???.
 0:01:40:  ???? ??? ?? ????????? ???.
 0:01:43:  ???.
 0:01:44:  ?????, ??????, ???? 15.
 0:01:46:  ??????? ???? ?? ????????.
 0:01:49:  ?????, ????.
 0:01:51:  ??? ??????
 0:01:52:  ????
 0:01:53:  ? ??????, ????? ?????.
 0:01:55:  ?????, ???? ?? ???????.
 0:01:58:  ??, ??, ??.
 0:02:00:  ?? ??? ? ??????, ????? ????? ? ??????.
 0:02:04:  ??? ????? ???????.
 0:02:05:  ?????, ???, ? ?? ???????, ???? ??? ???????.
 0:02:09:  ? ????????, ???????? ????.
 0:02:12:  7-8 ??????, 7-8 ??????.
 0:02:15:  ?????, ???? ???????, ?????.
 0:02:23:  ??????????? ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10460,websdr_recording_start_2022-03-01T12_50_45Z_10459.9kHz.wav,RU,EN-US,"0:00:00 Also on the speaker, in general, it's okay, it's good.
0:00:03 And the nine rollers, too, here's an arrow, on the nine holds.
0:00:09 Also in Moscow, everything is fine, at a premium.
0:00:13 Thank you, thank you, same thing, from start to finish,
0:00:16 and on that one skipped, well, calmly, confidently, the station works,
0:00:19 So yeah, there's more under the bell, no thanks, guys.
0:00:23 Thank you, bye, hello again everyone, taken.
0:00:26 All, on the crawl, on the crawl, Moscow, all the best wishes.
0:00:30 Most importantly, be well.
0:00:33 Although it's already like that, bruising, to start on other topics,
0:00:38 in the first place, here, more like this, thank you, thank you.
0:00:42 Take care, Pash.
0:00:44 All the best, 75.
0:00:46 Guys, who else is there, a couple of foster ones.
0:00:49 Sail, sail, sail, she, paraquad, paraquad,
0:00:54 Five, nine, zhischa, Pasha, eat, zhischa, at the reception.
0:01:00 I see, I see, it's been a long time since I've heard from you,
0:01:03 while lost, here's the same thing, 5-9, good, confident,
0:01:07 Mamach, and Paul, so yeah, okay, 5-9, huh, took the reception?
0:01:11 Yes, of course, Pasha, hello, fine.
0:01:14 I've got six cats, six, six cats running around, man, on this, on the mountain, man,
0:01:23 I'm like that, well, like an Athenian, in short.
0:01:28 Ah, Pasha, thank you very much, work, work, I'll be a second.
0:01:33 Good day to you all, good health, and forget about future ones,
0:01:37 70, bye, bye.
0:01:39 Bye, bye, 73, good luck to you as well.
0:01:42 Well, go ahead and raise your own.
0:01:44 So, okay, guys, there's still, Sail, Say hello, over.
0:01:52 Brother, Sail, Brother, Sail, Brother, receive.
0:01:57 Bro, Sail, I hear, great, behind your own,
0:02:00 I can receive everybody, and there's no noise at all,
0:02:03 on transfigures no noise, okay, 5-9, plus 5, bro, taken?
0:02:08 Yes, yes, Pasha, by welcome, Pasha, 9-9, loud, well, like ogleda.
0:02:14 Thank you, Paul, health to you, to your family name,
0:02:18 there are questions, go ahead and leave it, seven, three, fly, bye.
0:02:23 Bye, bye, yeah no questions, it's fine, good luck, thanks for the hike.
0:02:27 73, see you later, nothing, bye.
0:02:29 Is your brother active, active in what neighborhood?
0:02:33 To the third, to Malensk, to Malensk, reception.
0:02:37 I see, I see, brother, here is the Kaliningrad region, Alexander, Alexander Barakuda,
0:02:44 all good to you, until future radios, 73, don't be sick, bye, bye, bye.
0:02:50 Bye, Pasha, bye, bye.
0:03:00 Yeah easy, easy, five, nine, very loud,
0:03:04 Volkov, Matriyan and Alexander Kaliningrad region, admission.
0:03:11 Hi, good evening, thank you.
","0:00:00:  ??? ?? ?? ?????????, ? ?????, ??? ?????????, ??????.
 0:00:03:  ? 9 ??????? ????, ??? ?????????, ?? ????????? ????????.
 0:00:09:  ??? ?? ?? ?????? ??? ?????????, ?? ??????.
 0:00:13:  ???????, ???????, ???? ?????, ? ?????? ?? ?????,
 0:00:16:  ? ?? ??? ?????????, ??????, ????????, ????????, ??????? ????????,
 0:00:19:  ??? ??? ??, ??? ??? ??? ???????????, ???, ???????, ?????.
 0:00:23:  ???????, ????, ???? ??? ??????, ?????.
 0:00:26:  ???, ?? ?????, ?? ?????, ??????, ??? ?????? ?????????.
 0:00:30:  ????? ???????, ???? ??????.
 0:00:33:  ???? ???, ?????, ????? ?????, ???????, ???????? ?? ?????? ????,
 0:00:38:  ?? ?????? ?????, ???, ?????? ???, ???????, ???????.
 0:00:42:  ????? ???????, ???.
 0:00:44:  ????? ???????, 75.
 0:00:46:  ?????, ??? ??? ????, ???? ????????.
 0:00:49:  ?????, ?????, ?????, ???, ????????, ????????,
 0:00:54:  ???????, ???????, ????, ????, ???, ????, ?? ??????.
 0:01:00:  ???????, ???????, ????? ?? ?????? ????, ????? ?? ?????? ????,
 0:01:03:  ???? ?????????, ??? ?? ?? ?????, 5-9, ??????, ????????,
 0:01:07:  ?????, ? ?????, ??? ??? ??, ??????, 5-9, ?, ?????? ??????
 0:01:11:  ??, ???????, ????, ??? ??????, ?????????.
 0:01:14:  ? ???? ??? 6 ?????, 6, 6 ????? ??????, ????, ?? ?????, ?? ????, ????,
 0:01:23:  ? ??? ??? ???, ??, ???, ??? ??????, ??????.
 0:01:28:  ?, ????, ??????? ???? ????????, ???????, ???????, ? ???? ??????????.
 0:01:33:  ???? ??? ???????, ??????????, ? ?????? ? ??????? ?????,
 0:01:37:  70, ????, ????.
 0:01:39:  ????, ????, 73, ????? ????? ????.
 0:01:42:  ??, ?????, ?????????? ??? ?????.
 0:01:44:  ???, ?????, ?????, ?? ??? ????, ?????, ?????????????, ?????.
 0:01:52:  ????????, ?????, ????????, ?????, ????????, ?????.
 0:01:57:  ????????, ?????, ? ??????, ????????????, ?? ??????,
 0:02:00:  ??????????? ???, ? ???? ????????, ? ????? ?????? ????,
 0:02:03:  ?? ???????????? ???? ?????, ??????, 5-9, ???? 5, ????????, ???????
 0:02:08:  ??, ??, ????, ?? ??????????, ????, 9-9, ??????, ??????, ??? ??????.
 0:02:14:  ???????, ?????, ???????? ????, ????? ???????,
 0:02:18:  ??????? ????, ????? ??????, ???????, ??????, ????????, ????.
 0:02:23:  ????, ????, ?? ??? ????????, ??? ?????????, ?????, ??????? ?? ?????.
 0:02:27:  73, ?? ???????, ??????, ????.
 0:02:29:  ? ???????? ? ??? ????????, ????????, ? ????? ???????
 0:02:33:  ? ??????, ? ???????, ? ???????, ?????.
 0:02:37:  ???????, ???????, ????????, ????? ??????????????? ???????, ?????????, ????????? ????????,
 0:02:44:  ???? ??? ??????, ?? ??????? ?????, 73, ?? ?????, ????, ????.
 0:02:50:  ????, ????, ????, ????.
 0:03:00:  ?? ?????, ?????, ???????, ???????, ????? ??????,
 0:03:04:  ??????, ??????? ? ????????? ??????????????? ???????, ?????.
 0:03:11:  ??????, ?????? ?????, ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10460,websdr_recording_start_2022-03-01T12_54_05Z_10459.9kHz.wav,RU,EN-US,"0:00:00 Victor, we just had you in mind, how many of you are there?
0:00:03 In the Porochov region, our troops have already gone.
0:00:07 How many of you are there? Victor, how do you feel about the topic of war in general or what?
0:00:15 Hey, brother.
0:00:23 No pity, nothing can.
0:00:28 Population sanctions in all countries, I'm sure they're ready.
0:00:33 Oh, yes, Victor, it's accepted.
0:00:35 Soon Luhansk and Donetsk areas will not cool down.
0:00:40 I think that Russia will work, everything will be fine.
0:00:45 And man, it's hard for them to hohlap, man, I don't know, well, there's wutches-wutches, of course.
0:00:54 Guys, we have stepped for you and will always step for you.
0:01:00 All the best to you, seventy and.
0:01:03 To your children and grandchildren, as they say, everything is for the best.
0:01:08 Bye-bye.
0:01:10 Yes, Alexander, all the best, I wish you good health.
0:01:14 Goodbye.
","0:00:00:  ??????, ?? ??? ?????? ????????, ??????? ?? ????
 0:00:03:  ? ??????????? ??????? ???? ?????? ??? ???????.
 0:00:07:  ??????? ?? ???? ??????, ??? ?? ??? ?????? ?? ???? ????? ????????????? ??? ????
 0:00:15:  ??????, ????.
 0:00:23:  ?????? ?? ?????, ?????? ?? ?????.
 0:00:28:  ?????????? ??????? ?? ???? ???????, ? ??????, ??? ??? ??????.
 0:00:33:  ? ??, ??????, ??? ???????.
 0:00:35:  ????? ??????? ? ?????? ??????? ???????? ?? ?????.
 0:00:40:  ? ?????, ??? ?????? ????? ????????, ??? ????? ?????????.
 0:00:45:  ?, ????, ????????? ?? ??????, ????, ? ?? ????, ??, ???, ???????, ???????-???????.
 0:00:54:  ??????, ?? ?? ??? ????????? ? ????? ????????? ?? ??? ??????.
 0:01:00:  ???? ????? ???????, ????????? ?.
 0:01:03:  ?????, ??? ?????????, ????? ? ?????? ??? ?? ??????.
 0:01:08:  ????-????.
 0:01:10:  ??, ?????????, ????? ????????, ???????? ???????.
 0:01:14:  ?? ????????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11318,websdr_recording_start_2022-03-02T14_01_52Z_11318.0kHz.wav,RU,EN-US,"0:00:00 4 gusts 12. Visibility 10. Spread 980.
0:00:06 Times on the 2nd from 12.00 to 18.09.
0:00:11 Weak snow. Widespread 480.
0:00:15 Rise on the 2nd from 21.00 to 23.03.
0:00:22 Degrees 3. Gust 8.
0:00:30 We continue to take off.
0:00:34 We continue to take off.
0:00:38 We continue to take off.
0:00:42 The speed increases.
0:00:46 Reads height.
0:00:50 The speed increases.
0:00:54 The speed increases.
0:00:58 Gusts 8. Visibility 10.
0:01:02 Plosnaya 450.
0:01:04 Minus 2.
0:01:06 Clutch 036.
0:01:08 No cancellations.
0:01:10 We continue to take off.
0:01:12 The speed increases.
0:01:14 We continue to take off.
0:01:16 Plosnaya 120.
0:01:18 Visibility 10.
0:01:20 Speed 980.
0:01:22 No cancellations.
","0:00:00:  4 ?????? 12. ????????? 10. ?????????????? 980.
 0:00:06:  ????????? 2-?? ? 12.00 ?? 18.09.
 0:00:11:  ?????? ????. ?????????????? 480.
 0:00:15:  ?????? ?? 2-?? ? 21.00 ?? 23.03.
 0:00:22:  ???????? 3. ????? 8.
 0:00:30:  ????? ??????????.
 0:00:34:  ????? ??????????.
 0:00:38:  ????? ??????????.
 0:00:42:  ???????? ?????????????.
 0:00:46:  ?????? ??????.
 0:00:50:  ???????? ?????????????.
 0:00:54:  ???????? ?????????????.
 0:00:58:  ?????? 8. ????????? 10.
 0:01:02:  ??????? 450.
 0:01:04:  ????? 2.
 0:01:06:  ????????? 036.
 0:01:08:  ??? ?????????.
 0:01:10:  ????? ??????????.
 0:01:12:  ???????? ?????????????.
 0:01:14:  ????? ??????????.
 0:01:16:  ??????? 120.
 0:01:18:  ????????? 10.
 0:01:20:  ???????? 980.
 0:01:22:  ??? ?????????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
