,folder,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription
0,1015,03-52-41_4_1015_kHz_USB_4_1015_kHz.mp3,RU,EN-US,"0:00:00 11th, I'm 25th intake.
0:00:05 25, I'm the 11th appointment.
0:00:10 In your area, Argument, Sapsir, and our two little derriere girls.
0:00:19 I'm 25th intake.
0:00:23 Accepted, I'm on my 11th appointment. Thank you.
","0:00:00:  11-й, я 25-й прием.
 0:00:05:  25-й, я 11-й прием.
 0:00:10:  В вашем районе Аргумент, Сапсир и две наши маленькие дерички.
 0:00:19:  Я 25-й прием.
 0:00:23:  Принял, я 11-й прием. Спасибо.
"
1,10227,websdr_recording_start_2022-03-01T19_09_29Z_10227.0kHz.wav,RU,EN-US,"0:02:00 Got it, got it, got it.
0:02:07 Look, on this gasoline he got in.
0:02:14 Ah, the bahar.
0:02:17 Ah, the fool.
0:02:21 Ah, the bahar, well.
0:02:25 Go ahead.
0:02:26 Gotcha, ah, fool.
0:02:28 Ah, the fool.
0:02:32 Come on, come on, come on.
0:02:34 Gotcha.
0:02:35 Gotcha, ah, fool.
0:02:36 Ah, the fool.
0:02:39 Ah, the fool.
0:02:41 Ah, the fool.
0:02:44 Ah, the fool.
0:02:57 They speak Armenian.
0:03:27 They speak Armenian.
","0:02:00:  Взял, взял, взял.
 0:02:07:  Смотри, на этой бензине он попал.
 0:02:14:  Ааа, на бахаре.
 0:02:17:  Ах, дурак.
 0:02:21:  Ах, на бахаре, ну.
 0:02:25:  Ну, давай.
 0:02:26:  Попал, ах, дурак.
 0:02:28:  Ах, дурак.
 0:02:32:  Ну, давай, давай.
 0:02:34:  Попал.
 0:02:35:  Попал, ах, дурак.
 0:02:36:  Ах, дурак.
 0:02:39:  Ах, дурак.
 0:02:41:  А, дурак.
 0:02:44:  Ааа, дурак.
 0:02:57:  Говорят по-армянски.
 0:03:27:  Говорят по-армянски.
"
2,10460,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz (1).wav,RU,EN-US,"0:00:00 District, rega, rega, reception, reception
0:00:05 Are there any thirds?
0:00:06 There is a district, I hear you, the second district
0:00:10 Yes, Anatoly Ivanovich, yes, I always tell you, I hear you, Tashkent
0:00:14 I can't hear the others very well, what were you talking about, over?
0:00:18 On this neighbor, he's deaf, not mine, reception
0:00:22 Yeah, well, it's deaf, it's not mine.
0:00:27 I hear you, over
0:00:30 Rayon, reggae, reggae, I've already crushed the surprise
0:00:35 Area, reggae, reception
0:00:38 Your hands are lidded, it's okay.
0:00:42 District, rega, rega, rega, 789, yes, I'm always very loud to you, over
0:00:47 Yes, accepted, Sereg, I hear, we are all too early to give, yes
0:00:51 Ah, hello, Sereg.
0:00:55 Yes, yes, I hear, yes, yes
0:00:58 I'm in a fairy tale, we have Russian-louder
0:01:01 It works, and he hears me louder.
0:01:05 There, and you have two minutes of work here, over.
0:01:11 It's clear, it's clear, it's clear.
0:01:14 All right, well, sunny day you have, 5-6, oh, nice day, hello
0:01:19 I see, but I'm sick of the dose, too.
0:01:24 And the flies come and everything, and pours
0:01:28 And I, all right, here we go.
","0:00:00:  Район, рега, рега, прием, прием
 0:00:05:  Третьи есть?
 0:00:06:  Район есть, слышу вы, второй район
 0:00:10:  Да, Анатолий Иванович, да, я тебе всегда говорю, слышу, Ташкент
 0:00:14:  Что-то других плохо слышу, а о чем ты говорил, прием?
 0:00:18:  На этом сосед, он глухо, не мой, прием
 0:00:22:  Да, как же, глухо, не мой
 0:00:27:  Слышу тебя, прием
 0:00:30:  Район, рега, рега, я уже задавил сюрприз
 0:00:35:  Район, рега, рега, прием
 0:00:38:  Руки твои крышечные, все нормально
 0:00:42:  Район, рега, рега, 789, да, я тебе всегда очень громко, прием
 0:00:47:  Да, принято, Серег, я слышу, нам все рано в свои дать, да
 0:00:51:  А, привет, Серег
 0:00:55:  Да, да, я слышу, да, да
 0:00:58:  Я у меня в сказке, у нас русско-погромче
 0:01:01:  Работает, и он меня погромче слышит
 0:01:05:  Вот, и у вас две минуты здесь работает, прием
 0:01:11:  Это ясно, ясно, понятно
 0:01:14:  Ладно, хорошо, солнечный день у вас, 5-6, о, хороший день, привет
 0:01:19:  Понятно, но и дозе надоел, точно, доза
 0:01:24:  И мухи придет, и все, и наливает
 0:01:28:  И я, все понятно, вот, аж на ладоши, а то будем на ладоши
"
3,10460,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz.wav,RU,EN-US,"0:00:00 District, rega, rega, reception, reception
0:00:05 Are there any thirds?
0:00:06 There is a district, I hear you, the second district
0:00:10 Yes, Anatoly Ivanovich, yes, I always tell you, I hear you, Tashkent
0:00:14 I can't hear the others very well, what were you talking about, over?
0:00:18 On this neighbor, he's deaf, not mine, reception
0:00:22 Yeah, well, it's deaf, it's not mine.
0:00:27 I hear you, over
0:00:30 Rayon, reggae, reggae, I've already crushed the surprise
0:00:35 Area, reggae, reception
0:00:38 Your hands are lidded, it's okay.
0:00:42 District, rega, rega, rega, 789, yes, I'm always very loud to you, over
0:00:47 Yes, accepted, Sereg, I hear, we are all too early to give, yes
0:00:51 Ah, hello, Sereg.
0:00:55 Yes, yes, I hear, yes, yes
0:00:58 I'm in a fairy tale, we have Russian-louder
0:01:01 It works, and he hears me louder.
0:01:05 There, and you have two minutes of work here, over.
0:01:11 It's clear, it's clear, it's clear.
0:01:14 All right, well, sunny day you have, 5-6, oh, nice day, hello
0:01:19 I see, but I'm sick of the dose, too.
0:01:24 And the flies come and everything, and pours
0:01:28 And I, all right, here we go.
","0:00:00:  Район, рега, рега, прием, прием
 0:00:05:  Третьи есть?
 0:00:06:  Район есть, слышу вы, второй район
 0:00:10:  Да, Анатолий Иванович, да, я тебе всегда говорю, слышу, Ташкент
 0:00:14:  Что-то других плохо слышу, а о чем ты говорил, прием?
 0:00:18:  На этом сосед, он глухо, не мой, прием
 0:00:22:  Да, как же, глухо, не мой
 0:00:27:  Слышу тебя, прием
 0:00:30:  Район, рега, рега, я уже задавил сюрприз
 0:00:35:  Район, рега, рега, прием
 0:00:38:  Руки твои крышечные, все нормально
 0:00:42:  Район, рега, рега, 789, да, я тебе всегда очень громко, прием
 0:00:47:  Да, принято, Серег, я слышу, нам все рано в свои дать, да
 0:00:51:  А, привет, Серег
 0:00:55:  Да, да, я слышу, да, да
 0:00:58:  Я у меня в сказке, у нас русско-погромче
 0:01:01:  Работает, и он меня погромче слышит
 0:01:05:  Вот, и у вас две минуты здесь работает, прием
 0:01:11:  Это ясно, ясно, понятно
 0:01:14:  Ладно, хорошо, солнечный день у вас, 5-6, о, хороший день, привет
 0:01:19:  Понятно, но и дозе надоел, точно, доза
 0:01:24:  И мухи придет, и все, и наливает
 0:01:28:  И я, все понятно, вот, аж на ладоши, а то будем на ладоши
"
4,10460,websdr_recording_start_2022-03-01T05_49_47Z_10460.0kHz.wav,RU,EN-US,"0:00:30 and I hear, Slava, you confirm here and you say nothing here.
0:00:35 So, yes, all the souls of that little girl.
0:00:39 Tester, over, over.
","0:00:30:  и слышу, Слава, ты здесь подтвердись и здесь промолчишь.
 0:00:35:  Значит, да, все душу эту малолайку.
 0:00:39:  Испытатель, прием, прием.
"
5,10460,websdr_recording_start_2022-03-01T05_50_33Z_10460.0kHz.wav,RU,EN-US,"0:00:00 Guys, the lane's clear. Sorry.
0:00:02 Okay, bye-bye. Mission microphone.
0:00:06 Balansir, 1st district, everyone.
0:00:10 Characteristics of the ship, do you hear?
0:00:12 Characteristics of the ship.
0:00:14 Okay, okay, okay.
0:00:16 Secret, stun.
0:00:20 Secret stun, they will interfere, there answer.
0:00:22 Stun on a secret.
0:00:24 The contract, too.
0:00:26 A contract, a contract.
0:00:28 It's nicer today, celebrating.
0:00:34 Respect, I apologize, guys.
0:00:36 Respect, me, me, me.
","0:00:00:  Ребята, дорожка свободна, извините.
 0:00:02:  Всё, пока-пока. Миссия микрофон.
 0:00:06:  Балансир, 1-й район, всем.
 0:00:10:  Карактеристик кораблива, слышите?
 0:00:12:  Карактеристик кораблива.
 0:00:14:  Ладно, ладно, ладно.
 0:00:16:  Секрет, оглушить.
 0:00:20:  Секрет оглушить, они будут мешать, там отвечают.
 0:00:22:  Оглушить на секрет.
 0:00:24:  Договор тоже.
 0:00:26:  Договор, договор.
 0:00:28:  Сегодня приятнее, праздничать.
 0:00:34:  Уважайте, извиняюсь, ребят.
 0:00:36:  Уважайте, я, я, я.
"
6,10460,websdr_recording_start_2022-03-01T05_51_30Z_10460.0kHz.wav,RU,EN-US,"0:00:00 Seller's on 16 from the advisors.
0:00:14 Hello.
0:00:16이�?
0:00:20ONG bothered.
0:00:21 Fuck, fuck, fuck.
0:00:28 Baidet.
0:00:29 Heard your weather.
0:00:32 You heard ours, too.
0:00:35 Nothing, we only brought the passport to the sklizu.
0:00:38 Got it, got it.
0:00:39 We have sunshine, third day, we're just happy.
0:00:41 The only thing is not to be captured.
0:00:43 I watched it yesterday, and it was so fucking funny.
0:00:47 They should capture us.
0:00:48 Yes, Irkutsk is just iron growth.
0:00:50 Good luck with that.
0:00:51 There will be an intersection.
0:00:54 73 on Voronezh is deafening.
0:00:55 You go clearly to the shelter.
0:00:57 The sky is beautiful, springtime, and the sun is gorgeous.
0:01:00 Bye.
0:01:02 Oh, great.
0:01:05 Hello.
0:01:06 It's fucking loud.
0:01:08 Hello, plus 15.
0:01:10 Idol, what are you doing there, so, grab it, look.
0:01:14 Good health, good health, good luck to you.
0:01:16 You're kind of wheezing a little bit, aren't you?
0:01:20 Ali for something did not run out of medicine there,
0:01:25 who is standing upright?
0:01:28 No, it's not over.
0:01:29 Just lazy.
0:01:30 And all day long I've been smoking.
0:01:32 Rattle at him.
0:01:35 I see, yes.
0:01:36 Well, miss something else.
0:01:40 If we haven't all gathered yet.
0:01:43 Here.
0:01:44 Okay, it's loud, plus 15.
0:01:46 Thank you all for your health.
0:01:49 Come on, bye.
0:01:51 Where is Ramon?
0:01:52 Where?
0:01:53 I said yesterday, Ramon.
0:01:55 Come on, you're not controversial.
0:01:58 Yes, yes, yes.
0:02:00 Here you are in the pauses, in between you are in the pauses.
0:02:04 There's Slava.
0:02:05 Slava, here, or they're running away, they're waiting for me here.
0:02:09 Happy Mashinitsa, Mashinitsa to you.
0:02:12 7-8 points, 7-8 points.
0:02:15 Slava, there is contact, reception.
0:02:23 To be continued.
","0:00:00:  Продавец на 16 от advisors приехал.
 0:00:14:  Здарова.
 0:00:16: 이�?
 0:00:20: ONG bothered.
 0:00:21:  Бля date, бля.
 0:00:28:  Байдет.
 0:00:29:  Погоду слышал вашу.
 0:00:32:  Нашу ты тоже слышал.
 0:00:35:  Нечего, паспорт мы только на склизу привез.
 0:00:38:  Понял, понял.
 0:00:39:  У нас солнце, третий день, радуемся просто.
 0:00:41:  Единственное, чтоб не захватили.
 0:00:43:  А то я вчера смотрел, аж затрезка, бля.
 0:00:47:  Захватить нас должны.
 0:00:48:  Да Иркутск, как раз, железный рост.
 0:00:50:  Давай удачи.
 0:00:51:  Будет пересечение.
 0:00:54:  73 на Воронеже оглушительно.
 0:00:55:  Идешь четко в приют.
 0:00:57:  Небо красивенное, весеннее, солнышко обалденное.
 0:01:00:  Пока.
 0:01:02:  Ах, здорово.
 0:01:05:  Здарова.
 0:01:06:  Громко, бля.
 0:01:08:  Здарова, плюс 15.
 0:01:10:  Айдоль, че то ты там, так, схватись, смотри.
 0:01:14:  Здоровья, здоровья тебе, удачи.
 0:01:16:  Че то ты, как то это, как то немножко похрипываешь.
 0:01:20:  Али за че то не кончилось лекарство там рядом,
 0:01:25:  который стоит прямо?
 0:01:28:  Да нет, не кончилось.
 0:01:29:  Просто лень.
 0:01:30:  И весь день раскумарился.
 0:01:32:  Хрипы при нем.
 0:01:35:  Ну понятно, да.
 0:01:36:  Ну, че то пропустите еще.
 0:01:40:  Если еще не собрались все.
 0:01:43:  Вот.
 0:01:44:  Ладно, громко, плюс 15.
 0:01:46:  Спасибо всем за здоровье.
 0:01:49:  Давай, пока.
 0:01:51:  Где Рамон?
 0:01:52:  Где?
 0:01:53:  Я сказал, вчера Рамон.
 0:01:55:  Давай, тебя не спорщит.
 0:01:58:  Да, да, да.
 0:02:00:  Ты вот в паузах, между тобой в паузах.
 0:02:04:  Там Слава подошел.
 0:02:05:  Слава, вот, а то убегают, меня тут ожидают.
 0:02:09:  С Машиницы, Машиницы тебя.
 0:02:12:  7-8 баллов, 7-8 баллов.
 0:02:15:  Слава, есть контакт, прием.
 0:02:23:  Продолжение следует.
"
7,10460,websdr_recording_start_2022-03-01T12_50_45Z_10459.9kHz.wav,RU,EN-US,"0:00:00 Also on the speaker, in general, it's okay, it's good.
0:00:03 And the nine rollers, too, here's an arrow, on the nine holds.
0:00:09 Also in Moscow, everything is fine, at a premium.
0:00:13 Thank you, thank you, same thing, from start to finish,
0:00:16 and on that one skipped, well, calmly, confidently, the station works,
0:00:19 So yeah, there's more under the bell, no thanks, guys.
0:00:23 Thank you, bye, hello again everyone, taken.
0:00:26 All, on the crawl, on the crawl, Moscow, all the best wishes.
0:00:30 Most importantly, be well.
0:00:33 Although it's already like that, bruising, to start on other topics,
0:00:38 in the first place, here, more like this, thank you, thank you.
0:00:42 Take care, Pash.
0:00:44 All the best, 75.
0:00:46 Guys, who else is there, a couple of foster ones.
0:00:49 Sail, sail, sail, she, paraquad, paraquad,
0:00:54 Five, nine, zhischa, Pasha, eat, zhischa, at the reception.
0:01:00 I see, I see, it's been a long time since I've heard from you,
0:01:03 while lost, here's the same thing, 5-9, good, confident,
0:01:07 Mamach, and Paul, so yeah, okay, 5-9, huh, took the reception?
0:01:11 Yes, of course, Pasha, hello, fine.
0:01:14 I've got six cats, six, six cats running around, man, on this, on the mountain, man,
0:01:23 I'm like that, well, like an Athenian, in short.
0:01:28 Ah, Pasha, thank you very much, work, work, I'll be a second.
0:01:33 Good day to you all, good health, and forget about future ones,
0:01:37 70, bye, bye.
0:01:39 Bye, bye, 73, good luck to you as well.
0:01:42 Well, go ahead and raise your own.
0:01:44 So, okay, guys, there's still, Sail, Say hello, over.
0:01:52 Brother, Sail, Brother, Sail, Brother, receive.
0:01:57 Bro, Sail, I hear, great, behind your own,
0:02:00 I can receive everybody, and there's no noise at all,
0:02:03 on transfigures no noise, okay, 5-9, plus 5, bro, taken?
0:02:08 Yes, yes, Pasha, by welcome, Pasha, 9-9, loud, well, like ogleda.
0:02:14 Thank you, Paul, health to you, to your family name,
0:02:18 there are questions, go ahead and leave it, seven, three, fly, bye.
0:02:23 Bye, bye, yeah no questions, it's fine, good luck, thanks for the hike.
0:02:27 73, see you later, nothing, bye.
0:02:29 Is your brother active, active in what neighborhood?
0:02:33 To the third, to Malensk, to Malensk, reception.
0:02:37 I see, I see, brother, here is the Kaliningrad region, Alexander, Alexander Barakuda,
0:02:44 all good to you, until future radios, 73, don't be sick, bye, bye, bye.
0:02:50 Bye, Pasha, bye, bye.
0:03:00 Yeah easy, easy, five, nine, very loud,
0:03:04 Volkov, Matriyan and Alexander Kaliningrad region, admission.
0:03:11 Hi, good evening, thank you.
","0:00:00:  Так же на колоночку, в общем, все нормально, хорошо.
 0:00:03:  А 9 валиков тоже, вот стрелочка, на девяточке держится.
 0:00:09:  Так же по Москве все прекрасно, на премию.
 0:00:13:  Спасибо, спасибо, тоже самое, с начала до конца,
 0:00:16:  а на том пропускал, хорошо, спокойно, уверенно, станция работает,
 0:00:19:  так что да, там еще под колокольцем, нет, спасибо, ребят.
 0:00:23:  Спасибо, пока, всем еще привет, взяли.
 0:00:26:  Все, на ползь, на ползь, Москва, все лучшие пожелания.
 0:00:30:  Самое главное, будь здоров.
 0:00:33:  Хотя уже, вроде, такая такая, синяция, начаться на другие темы,
 0:00:38:  на первом месте, вот, скорее так, спасибо, спасибо.
 0:00:42:  Всего доброго, Паш.
 0:00:44:  Всего доброго, 75.
 0:00:46:  Ребят, кто еще есть, пару приемных.
 0:00:49:  Парус, парус, парус, она, паракуда, паракуда,
 0:00:54:  пятерка, девятка, жища, Паша, ешь, жища, на приеме.
 0:01:00:  Понятно, понятно, давно не слышал тебя, давно не слышно было,
 0:01:03:  пока потерялся, вот то же самое, 5-9, хорошо, уверенно,
 0:01:07:  Мамач, и Павел, так что да, хорошо, 5-9, а, принял прием?
 0:01:11:  Да, конечно, Паша, все привет, прекрасно.
 0:01:14:  У меня тут 6 котов, 6, 6 котов бегают, блин, по этому, по гору, блин,
 0:01:23:  я вот так вот, ну, как, как афинка, короче.
 0:01:28:  А, Паше, спасибо тебе огромное, работай, работай, я буду второжечки.
 0:01:33:  Тебе все доброго, здоровичка, и забудь о будущих ранее,
 0:01:37:  70, пока, пока.
 0:01:39:  Пока, пока, 73, удачи также тебе.
 0:01:42:  Ну, давай, воспитывай там своих.
 0:01:44:  Так, ладно, ребят, то еще есть, Парус, Поздороваться, прием.
 0:01:52:  Братишка, Парус, Братишка, Парус, Братишка, прием.
 0:01:57:  Братишка, Парус, я слышал, замечательно, за своими,
 0:02:00:  прохождения там, я всех принимаю, и шумов вообще ноль,
 0:02:03:  по трансфигурам нету шумов, хорошо, 5-9, плюс 5, братишка, принял?
 0:02:08:  Да, да, Паша, по приветству, Паша, 9-9, громко, хорошо, как огляда.
 0:02:14:  Спасибо, Павел, здоровья тебе, своей фамилии,
 0:02:18:  вопросы есть, давай оставь, семерка, тройка, полетела, пока.
 0:02:23:  Пока, пока, да нет вопросов, все нормально, удачи, спасибо за поход.
 0:02:27:  73, до встречи, ничего, пока.
 0:02:29:  А братишка у вас активная, активная, в каком районе?
 0:02:33:  В третий, в Маленск, в Маленск, прием.
 0:02:37:  Понятно, понятно, братишка, здесь Калининградская область, Александр, Александр Баракуда,
 0:02:44:  тебе все доброе, до будущих радио, 73, не болей, пока, пока.
 0:02:50:  Пока, Паша, пока, пока.
 0:03:00:  Да легко, легко, пятерка, девятка, очень громко,
 0:03:04:  Волков, Матриян и Александр Калининградская область, прием.
 0:03:11:  Привет, добрый вечер, спасибо.
"
8,10460,websdr_recording_start_2022-03-01T12_54_05Z_10459.9kHz.wav,RU,EN-US,"0:00:00 Victor, we just had you in mind, how many of you are there?
0:00:03 In the Porochov region, our troops have already gone.
0:00:07 How many of you are there? Victor, how do you feel about the topic of war in general or what?
0:00:15 Hey, brother.
0:00:23 No pity, nothing can.
0:00:28 Population sanctions in all countries, I'm sure they're ready.
0:00:33 Oh, yes, Victor, it's accepted.
0:00:35 Soon Luhansk and Donetsk areas will not cool down.
0:00:40 I think that Russia will work, everything will be fine.
0:00:45 And man, it's hard for them to hohlap, man, I don't know, well, there's wutches-wutches, of course.
0:00:54 Guys, we have stepped for you and will always step for you.
0:01:00 All the best to you, seventy and.
0:01:03 To your children and grandchildren, as they say, everything is for the best.
0:01:08 Bye-bye.
0:01:10 Yes, Alexander, all the best, I wish you good health.
0:01:14 Goodbye.
","0:00:00:  Виктор, мы вас только задумали, сколько их вас?
 0:00:03:  В Пороховской области наши войска уже поехали.
 0:00:07:  Сколько их вас? Виктор, как ты там вообще по теме войны воспринимаешь или как?
 0:00:15:  Привет, брат.
 0:00:23:  Ничего не жалко, ничего не может.
 0:00:28:  Населенные санкции во всех странах, я уверен, что они готовы.
 0:00:33:  А да, Виктор, все принято.
 0:00:35:  Скоро Луганск и Донецк районов остынуть не будут.
 0:00:40:  Я думаю, что Россия будет работать, все будет нормально.
 0:00:45:  И, блин, хохлапать им трудно, блин, я не знаю, ну, там, конечно, ватчики-ватчики.
 0:00:54:  Ребята, мы за вас ступились и будем ступаться за вас всегда.
 0:01:00:  Тебе всего доброго, семьдесят и.
 0:01:03:  Твоим, как говорится, детям и внукам все на лучшее.
 0:01:08:  Пока-пока.
 0:01:10:  Да, Александр, всего хорошего, здоровья пожелаю.
 0:01:14:  До свидания.
"
9,11318,websdr_recording_start_2022-03-02T14_01_52Z_11318.0kHz.wav,RU,EN-US,"0:00:00 4 gusts 12. Visibility 10. Spread 980.
0:00:06 Times on the 2nd from 12.00 to 18.09.
0:00:11 Weak snow. Widespread 480.
0:00:15 Rise on the 2nd from 21.00 to 23.03.
0:00:22 Degrees 3. Gust 8.
0:00:30 We continue to take off.
0:00:34 We continue to take off.
0:00:38 We continue to take off.
0:00:42 The speed increases.
0:00:46 Reads height.
0:00:50 The speed increases.
0:00:54 The speed increases.
0:00:58 Gusts 8. Visibility 10.
0:01:02 Plosnaya 450.
0:01:04 Minus 2.
0:01:06 Clutch 036.
0:01:08 No cancellations.
0:01:10 We continue to take off.
0:01:12 The speed increases.
0:01:14 We continue to take off.
0:01:16 Plosnaya 120.
0:01:18 Visibility 10.
0:01:20 Speed 980.
0:01:22 No cancellations.
","0:00:00:  4 порывы 12. Видимость 10. Распространная 980.
 0:00:06:  Временами 2-го с 12.00 до 18.09.
 0:00:11:  Слабый снег. Распространная 480.
 0:00:15:  Подъем на 2-го с 21.00 до 23.03.
 0:00:22:  Градусов 3. Порыв 8.
 0:00:30:  Взлет продолжаем.
 0:00:34:  Взлет продолжаем.
 0:00:38:  Взлет продолжаем.
 0:00:42:  Скорость увеличивается.
 0:00:46:  Читает высоту.
 0:00:50:  Скорость увеличивается.
 0:00:54:  Скорость увеличивается.
 0:00:58:  Порывы 8. Видимость 10.
 0:01:02:  Плосная 450.
 0:01:04:  Минус 2.
 0:01:06:  Сцепление 036.
 0:01:08:  Без отменений.
 0:01:10:  Взлет продолжаем.
 0:01:12:  Скорость увеличивается.
 0:01:14:  Взлет продолжаем.
 0:01:16:  Плосная 120.
 0:01:18:  Видимость 10.
 0:01:20:  Скорость 980.
 0:01:22:  Без отменений.
"
