,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription
0,03-52-41_4_1015_kHz_USB_4_1015_kHz.mp3,ru,en,"11th, I am the 25th reception. 25th, I am the 11th reception. Argument, Sapsir and two of our little trees are in your area. I am the 25th appointment. Accepted, I am the 11th reception. Thank you."," 11-й, я 25-й прием. 25-й, я 11-й прием. В вашем районе Аргумент, Сапсир и две наши маленькие дерички. Я 25-й прием. Принял, я 11-й прием. Спасибо."
0,websdr_recording_start_2022-03-01T19_09_29Z_10227.0kHz.wav,ar,en,"Ah, this eh, is the car's ricoh, uh, Dalor, where, uh, al-Sharki, al-Sharki, do you need, uh, Dalor? You came to me, you want to tell us, what is this, and we pay you, what is the size of my land, share with Tama, oh, oh, oh, it is easy, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh Daji oh I'm going to have references DDD Daji ADD DDD God will leave me Hey Ddd Dee God will leave me ADD DDD God will take me I'm God Harsh I'm going to review Harsh Hey Ddd I'm going to review ananted or hi hi got nothing anted got nothing anted anted anted anted anted anted nissan nissan anted civilian owners hatino hershp zucchini gucci zucchini zucchini zucchini zucChive zucchini zucchini zucchini", اه هذا ايه هو ريكو السيارة اه دلور وين اه الشاركي الشاركي تحاجة اه دلور انا رفضت مقنا انا اطلبت مقنا ده اه دلور انا دلور شاركي تحاجة ضحكة الصعودية انا شاركي تعemat لكن انا اريد عم �دي ايه دكلور ايه هاي ذكري اايه هاي ذكراز يا، يادي اجاتي غ嘛 هنفسك مقولنا أيه هاي وندفعلناكي ايه حجم ارضي شاركي تعمة يا انا اوه يا راحت يسويا يا خلاز جريم مراكز فوو حضير مراجع ايه ليرك يا اون انا هاي خلصونا هاي خلصونا جو انا ربنا عرف اكيد الي انا درت على برونسو ونحرش المجام يا مين دي داجي يا انا حضير مراجع دي دي دي داجي ايه دي دي دي دي الله سياخلي هاي دي دي دي دي الله سياخلي ايه دي دي دي دي الله سياخلي انا ربنا حرش انا حضير مراجع حرش هاي دي دي دي انا حضير مراجعanted ولا هاي هاي got nothing anted got nothing anted anted anted anted anted anted nissan nissan anted أصحاب المدنيين هاتينو hershp zucchini gucci zucchini zucchini zucchini zucChive zucchini zucchini zucchini
0,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz (1).wav,ru,en,"District, rega, rega, reception, reception Is there a third? There is a district, I hear you, the second district Yes, Anatoly Ivanovich, yes, I always tell you, I hear Tashkent. On this neighbor, he is deaf, not mine, reception Yes, how deaf, not mine I hear you, reception District, rega, rega, I already crushed the surprise District, rega, rega, reception Your hands are capped, everything is fine District, rega , rega, 789, yes, I'm always very loud to you, reception Yes, it's accepted, Sereg, I hear, it's too early for us to give ours, yes A, hello, Sereg Yes, yes, I hear, yes, yes I'm in my a fairy tale, we have a Russian louder Works, and he hears me louder Here, and you work here for two minutes, reception It's clear, clear, clear Okay, fine, you have a sunny day, 5-6, oh, good day, hello It's clear, but I'm tired of the dose, for sure, the dose And the flies will come, and that's it, and pours And I, everything is clear, here, already clap your hands, otherwise we'll clap your hands"," Район, рега, рега, прием, прием Третьи есть? Район есть, слышу вы, второй район Да, Анатолий Иванович, да, я тебе всегда говорю, слышу, Ташкент Что-то других плохо слышу, а о чем ты говорил, прием? На этом сосед, он глухо, не мой, прием Да, как же, глухо, не мой Слышу тебя, прием Район, рега, рега, я уже задавил сюрприз Район, рега, рега, прием Руки твои крышечные, все нормально Район, рега, рега, 789, да, я тебе всегда очень громко, прием Да, принято, Серег, я слышу, нам все рано в свои дать, да А, привет, Серег Да, да, я слышу, да, да Я у меня в сказке, у нас русско-погромче Работает, и он меня погромче слышит Вот, и у вас две минуты здесь работает, прием Это ясно, ясно, понятно Ладно, хорошо, солнечный день у вас, 5-6, о, хороший день, привет Понятно, но и дозе надоел, точно, доза И мухи придет, и все, и наливает И я, все понятно, вот, аж на ладоши, а то будем на ладоши"
0,websdr_recording_start_2022-02-28T13_12_03Z_10460.0kHz.wav,ru,en,"District, rega, rega, reception, reception Is there a third? There is a district, I hear you, the second district Yes, Anatoly Ivanovich, yes, I always tell you, I hear Tashkent. On this neighbor, he is deaf, not mine, reception Yes, how deaf, not mine I hear you, reception District, rega, rega, I already crushed the surprise District, rega, rega, reception Your hands are capped, everything is fine District, rega , rega, 789, yes, I'm always very loud to you, reception Yes, it's accepted, Sereg, I hear, it's too early for us to give ours, yes A, hello, Sereg Yes, yes, I hear, yes, yes I'm in my a fairy tale, we have a Russian louder Works, and he hears me louder Here, and you work here for two minutes, reception It's clear, clear, clear Okay, fine, you have a sunny day, 5-6, oh, good day, hello It's clear, but I'm tired of the dose, for sure, the dose And the flies will come, and that's it, and pours And I, everything is clear, here, already clap your hands, otherwise we'll clap your hands"," Район, рега, рега, прием, прием Третьи есть? Район есть, слышу вы, второй район Да, Анатолий Иванович, да, я тебе всегда говорю, слышу, Ташкент Что-то других плохо слышу, а о чем ты говорил, прием? На этом сосед, он глухо, не мой, прием Да, как же, глухо, не мой Слышу тебя, прием Район, рега, рега, я уже задавил сюрприз Район, рега, рега, прием Руки твои крышечные, все нормально Район, рега, рега, 789, да, я тебе всегда очень громко, прием Да, принято, Серег, я слышу, нам все рано в свои дать, да А, привет, Серег Да, да, я слышу, да, да Я у меня в сказке, у нас русско-погромче Работает, и он меня погромче слышит Вот, и у вас две минуты здесь работает, прием Это ясно, ясно, понятно Ладно, хорошо, солнечный день у вас, 5-6, о, хороший день, привет Понятно, но и дозе надоел, точно, доза И мухи придет, и все, и наливает И я, все понятно, вот, аж на ладоши, а то будем на ладоши"
0,websdr_recording_start_2022-03-01T05_49_47Z_10460.0kHz.wav,ru,en,"and I hear, Slava, you prove yourself here and keep silent here. So, yes, all the soul of this little like. Tester, reception, reception."," и слышу, Слава, ты здесь подтвердись и здесь промолчишь. Значит, да, все душу эту малолайку. Испытатель, прием, прием."
0,websdr_recording_start_2022-03-01T05_50_33Z_10460.0kHz.wav,ru,en,"Guys, the track is free, sorry. All for now. Mission microphone. Balancer, 1st district, everyone. Characteristic ship, do you hear? Ship characterization. Okay, okay, okay. Secret, stun. The secret is to stun, they will interfere, they answer there. Stun for a secret. The contract too. Agreement, agreement. Today is more pleasant to celebrate. Respect, I'm sorry guys. Respect me, me, me."," Ребята, дорожка свободна, извините. Всё, пока-пока. Миссия микрофон. Балансир, 1-й район, всем. Карактеристик кораблива, слышите? Карактеристик кораблива. Ладно, ладно, ладно. Секрет, оглушить. Секрет оглушить, они будут мешать, там отвечают. Оглушить на секрет. Договор тоже. Договор, договор. Сегодня приятнее, праздничать. Уважайте, извиняюсь, ребят. Уважайте, я, я, я."
0,websdr_recording_start_2022-03-01T05_51_30Z_10460.0kHz.wav,ru,en,% H PROFESSOR Baby dagir S Саbolic С C T T iaho,% Н PROFESSOR Baby dagir S Сabolic С C Т Т iahо
0,websdr_recording_start_2022-03-01T12_50_45Z_10459.9kHz.wav,ru,en,"Also on the column, in general, everything is fine, good. And 9 rollers too, here is an arrow, it rests on nine. Also in Moscow, everything is fine, for the award. Thank you, thank you, the same thing, from beginning to end, but on that one I missed it, good, calmly, confidently, the station is working, so yes, there is still under the bell, no, thanks, guys. Thank you, bye, hello to everyone, they took it. Everything, crawl, crawl, Moscow, all the best wishes. Most importantly, be healthy. Although already, it seems, such a sination, to start on other topics, in the first place, that's more likely like this, thank you, thank you. All the best, Pash. All the best, 75. Guys, who else is there, a couple of adoptees. Sail, sail, sail, she, parakuda, parakuda, five, nine, zhischa, Pasha, eat, zhischa, at the reception. It’s clear, understandable, I haven’t heard you for a long time, I haven’t heard you for a long time, until I got lost, that’s the same thing, 5-9, okay, confidently, Mamach, and Pavel, so yes, okay, 5-9, did you accept the reception? Yes, of course, Pasha, hello everyone, great. I have 6 cats here, 6, 6 cats running around, damn it, for this, up the mountain, damn it, I’m like this, well, like, like an Athenian, in short. And, Pasha, thank you very much, work, work, I'll do second-hand. All the best to you, healthy, and forget about the future earlier, 70, bye, bye. Bye, bye, 73, good luck to you too. Well, come on, educate your own there. So, okay, guys, then there is, Sail, Say hello, welcome. Brother, Sail, Brother, Sail, Brother, over. Brother, Parus, I heard, wonderful, behind my own, passing there, I accept everyone, and there is generally zero noise, there is no noise on transfigures, okay, 5-9, plus 5, brother, did you accept? Yes, yes, Pasha, greetings, Pasha, 9-9, loud, good, like looking around. Thank you, Pavel, health to you, your last name, there are questions, let's leave it, seven, three, flew bye. Bye, bye, yes, no questions, everything is fine, good luck, thanks for the trip. 73, see you, nothing, yet. And your brother is active, active, in what area? In the third, in Malensk, in Malensk, reception. I understand, I understand, brother, here is the Kaliningrad region, Alexander, Alexander Barakuda, all the best to you, until future radios, 73, don't get sick, bye, bye. Bye, Pasha, bye, bye. Yes, easy, easy, five, nine, very loud, Volkov, Matrian and Alexander Kaliningrad region, over. Hello, good evening, thank you."," Так же на колоночку, в общем, все нормально, хорошо. А 9 валиков тоже, вот стрелочка, на девяточке держится. Так же по Москве все прекрасно, на премию. Спасибо, спасибо, тоже самое, с начала до конца, а на том пропускал, хорошо, спокойно, уверенно, станция работает, так что да, там еще под колокольцем, нет, спасибо, ребят. Спасибо, пока, всем еще привет, взяли. Все, на ползь, на ползь, Москва, все лучшие пожелания. Самое главное, будь здоров. Хотя уже, вроде, такая такая, синяция, начаться на другие темы, на первом месте, вот, скорее так, спасибо, спасибо. Всего доброго, Паш. Всего доброго, 75. Ребят, кто еще есть, пару приемных. Парус, парус, парус, она, паракуда, паракуда, пятерка, девятка, жища, Паша, ешь, жища, на приеме. Понятно, понятно, давно не слышал тебя, давно не слышно было, пока потерялся, вот то же самое, 5-9, хорошо, уверенно, Мамач, и Павел, так что да, хорошо, 5-9, а, принял прием? Да, конечно, Паша, все привет, прекрасно. У меня тут 6 котов, 6, 6 котов бегают, блин, по этому, по гору, блин, я вот так вот, ну, как, как афинка, короче. А, Паше, спасибо тебе огромное, работай, работай, я буду второжечки. Тебе все доброго, здоровичка, и забудь о будущих ранее, 70, пока, пока. Пока, пока, 73, удачи также тебе. Ну, давай, воспитывай там своих. Так, ладно, ребят, то еще есть, Парус, Поздороваться, прием. Братишка, Парус, Братишка, Парус, Братишка, прием. Братишка, Парус, я слышал, замечательно, за своими, прохождения там, я всех принимаю, и шумов вообще ноль, по трансфигурам нету шумов, хорошо, 5-9, плюс 5, братишка, принял? Да, да, Паша, по приветству, Паша, 9-9, громко, хорошо, как огляда. Спасибо, Павел, здоровья тебе, своей фамилии, вопросы есть, давай оставь, семерка, тройка, полетела, пока. Пока, пока, да нет вопросов, все нормально, удачи, спасибо за поход. 73, до встречи, ничего, пока. А братишка у вас активная, активная, в каком районе? В третий, в Маленск, в Маленск, прием. Понятно, понятно, братишка, здесь Калининградская область, Александр, Александр Баракуда, тебе все доброе, до будущих радио, 73, не болей, пока, пока. Пока, Паша, пока, пока. Да легко, легко, пятерка, девятка, очень громко, Волков, Матриян и Александр Калининградская область, прием. Привет, добрый вечер, спасибо."
0,websdr_recording_start_2022-03-01T12_54_05Z_10459.9kHz.wav,ru,en,"Victor, we just thought of you, how many of you are there? In the Porokhov region, our troops have already set off. How many of you? Victor, how do you perceive the topic of war in general, or what? Hi brother. Nothing is a pity, nothing can. Populated sanctions in all countries, I am sure they are ready. And yes, Victor, everything is accepted. Soon Lugansk and Donetsk districts will not cool down. I think that Russia will work, everything will be fine. And, damn it, it’s hard for them to clap, damn it, I don’t know, well, there, of course, there are vatchiki-vatchiki. Guys, we stood up for you and will always stand up for you. All the best to you, seventy and. Your children and grandchildren, as they say, all the best. Bye bye. Yes, Alexander, all the best, I wish you health. Goodbye."," Виктор, мы вас только задумали, сколько их вас? В Пороховской области наши войска уже поехали. Сколько их вас? Виктор, как ты там вообще по теме войны воспринимаешь или как? Привет, брат. Ничего не жалко, ничего не может. Населенные санкции во всех странах, я уверен, что они готовы. А да, Виктор, все принято. Скоро Луганск и Донецк районов остынуть не будут. Я думаю, что Россия будет работать, все будет нормально. И, блин, хохлапать им трудно, блин, я не знаю, ну, там, конечно, ватчики-ватчики. Ребята, мы за вас ступились и будем ступаться за вас всегда. Тебе всего доброго, семьдесят и. Твоим, как говорится, детям и внукам все на лучшее. Пока-пока. Да, Александр, всего хорошего, здоровья пожелаю. До свидания."
0,websdr_recording_start_2022-03-02T14_01_52Z_11318.0kHz.wav,ru,en,4 gusts 12. Visibility 10. Widespread 980. At times on the 2nd from 12.00 to 18.09. Weak snow. Common 480. Rise to the 2nd from 21.00 to 23.03. Degrees 3. Gust 8. We continue to take off. We continue the takeoff. We continue the takeoff. Speed ​​increases. Reads height. Speed ​​increases. Speed ​​increases. Gusts 8. Visibility 10. Flat 450. Minus 2. Grip 036. No Cancellations. We continue the takeoff. Speed ​​increases. We continue the takeoff. Flat 120. Visibility 10. Speed ​​980. No cancellations., 4 порывы 12. Видимость 10. Распространная 980. Временами 2-го с 12.00 до 18.09. Слабый снег. Распространная 480. Подъем на 2-го с 21.00 до 23.03. Градусов 3. Порыв 8. Взлет продолжаем. Взлет продолжаем. Взлет продолжаем. Скорость увеличивается. Читает высоту. Скорость увеличивается. Скорость увеличивается. Порывы 8. Видимость 10. Плосная 450. Минус 2. Сцепление 036. Без отменений. Взлет продолжаем. Скорость увеличивается. Взлет продолжаем. Плосная 120. Видимость 10. Скорость 980. Без отменений.
